size2,rich2
10,33
10,34
10,34
10,23
10,42
10,27
10,26
10,27
10,34
10,24
10,31
10,21
10,25
10,37
10,27
10,21
10,27
10,33
10,20
10,22
20,30
20,38
20,34
20,43
20,26
20,32
20,40
20,30
20,27
20,26
20,39
20,33
20,37
20,29
20,43
20,36
20,26
20,22
20,30
20,36
30,37
30,33
30,29
30,31
30,42
30,37
30,47
30,41
30,39
30,40
30,40
30,33
30,30
30,30
30,28
30,48
30,44
30,37
30,34
30,32
40,36
40,44
40,32
40,41
40,41
40,50
40,30
40,30
40,38
40,35
40,45
40,27
40,42
40,36
40,43
40,39
40,49
40,43
40,42
40,39
>50,38
>50,40
>50,39
>50,42
>50,43
>50,36
>50,56
>50,40
>50,42
>50,45
>50,42
>50,38
>50,41
>50,32
>50,51
>50,41
>50,37
>50,38
>50,55
>50,47
